timestamp,screen_index,image_name,choice,left_model_key,right_model_key,left_is_correct,right_is_correct,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after,left_inference_ms,right_inference_ms
2026-02-20T15:31:04.425672,118,641858665.jpeg,both_correct,yolo26x,rfdetr-2xlarge,1,1,,,,yolo26m,0.147300,2842.883,1017.972
2026-02-20T15:31:05.614027,119,641899009.jpg,right,yolo26n,yolo11s,0,1,yes,yolo11s,yolo11n,yolo26m,0.143450,115.121,545.962
2026-02-20T15:31:07.394633,120,641833014.jpg,both_wrong,rfdetr-medium,yolov10l,0,0,,,,yolo26m,0.146050,514.500,720.664
2026-02-20T15:31:09.796391,121,641854542.jpg,both_correct,yolov10x,rtdetrv2-x,1,1,,,,yolo26m,0.147400,998.956,2330.878
2026-02-20T15:31:12.074964,122,641923536.jpg,both_correct,rfdetr-2xlarge,rtdetrv3-r18,1,1,,,,yolo26m,0.147000,966.276,1581.340
2026-02-20T15:31:13.773970,123,641856202.jpeg,both_correct,yolov10s,yolo26x,1,1,,,,yolo26m,0.150350,358.209,878.720
2026-02-20T15:31:19.791396,124,641899009.jpg,left,yolo11s,yolo11n,1,0,depth_limit,,,yolo26m,0.143650,169.970,93.279
2026-02-20T15:31:22.787954,125,641878278.jpg,left,yolo26x,rtdetrv3-r101,1,0,yes,rtdetrv2-l,yolo26x,yolo26m,0.150200,544.809,2185.327
2026-02-20T15:31:24.258482,126,641923766.jpeg,right,rtdetrv3-r101,rfdetr-2xlarge,0,1,yes,rfdetr-2xlarge,rfdetr-medium,yolo26m,0.141750,2138.421,1132.273
2026-02-20T15:31:25.702445,127,641883945.jpg,both_correct,rfdetr-nano,yolo11m,1,1,,,,yolo26m,0.140750,169.359,647.028
2026-02-20T15:31:26.715090,128,641895785.jpeg,both_correct,yolo26m,yolo26n,1,1,,,,yolo26m,0.141300,460.515,108.716
2026-02-20T15:31:28.850450,129,641878242.jpg,both_correct,rtdetrv3-r50,rtdetrv3-r18,1,1,,,,yolo26m,0.144400,2592.891,1315.382
2026-02-20T15:31:31.521902,130,641878278.jpg,both_correct,rtdetrv2-l,yolo26x,1,1,,,,yolo26m,0.141950,1319.859,654.911
2026-02-20T15:31:32.718403,131,641923766.jpeg,both_correct,rfdetr-2xlarge,rfdetr-medium,1,1,,,,yolo26m,0.140800,1227.036,615.790
2026-02-20T15:31:33.545377,132,641914479.jpg,both_correct,rtdetr-l,yolo26x,1,1,,,,yolo26m,0.138950,1231.402,1027.531
2026-02-20T15:31:34.591964,133,641858662.jpeg,both_correct,rtdetrv3-r50,yolo26x,1,1,,,,yolo26m,0.143700,1167.187,953.020
2026-02-20T15:31:36.706779,134,641884465.jpeg,both_correct,yolov10x,yolo11m,1,1,,,,yolo26m,0.138550,851.549,427.662
2026-02-20T15:31:37.419254,135,641883261.jpg,both_correct,rtdetrv2-x,rfdetr-medium,1,1,,,,yolo26m,0.144800,2254.738,417.453
2026-02-20T15:31:38.109906,136,641895181.jpg,both_correct,yolo11s,yolov10n,1,1,,,,yolo26m,0.139300,189.508,128.987
2026-02-20T15:31:41.151514,137,641873596.jpg,both_correct,rtdetrv3-r101,yolo26x,1,1,,,,yolo26m,0.141850,2088.879,938.573
2026-02-20T15:31:44.910665,138,641863233.jpg,both_wrong,rtdetrv2-x,yolov10n,0,0,,,,yolo26m,0.145450,2026.664,130.959
2026-02-20T15:31:47.864607,139,641849196.jpg,left,rtdetrv2-l,rfdetr-nano,1,0,yes,rtdetrv2-l,yolo26m,yolo26m,0.151150,1107.414,133.860
2026-02-20T15:31:48.752145,140,641883739.jpg,both_correct,yolo11s,rtdetrv2-x,1,1,,,,yolo26m,0.156550,188.838,1966.927
2026-02-20T15:31:49.652284,141,641867040.jpg,both_correct,yolo11x,yolov10n,1,1,,,,yolo26m,0.149400,2753.203,147.980
2026-02-20T15:31:51.447864,142,641834108.jpg,both_correct,yolov10x,rfdetr-small,1,1,,,,yolo26m,0.151550,1643.369,282.263
2026-02-20T15:32:06.685068,143,641869830.jpeg,left,yolo11m,rtdetr-x,1,0,yes,yolo11m,yolov10x,yolo26m,0.141000,444.506,5127.207
2026-02-20T15:32:12.299088,144,641849196.jpg,both_correct,rtdetrv2-l,yolo26m,1,1,,,,yolo26m,0.142350,1312.173,491.181
2026-02-20T15:32:13.216128,145,641897747.jpg,both_correct,rtdetr-l,rtdetrv2-x,1,1,,,,yolo26m,0.143500,1024.041,1987.774
2026-02-20T15:32:14.458860,146,641870480.jpg,both_correct,rfdetr-medium,rtdetrv2-l,1,1,,,,yolo26m,0.146350,413.933,1192.936
2026-02-20T15:32:15.688048,147,641854547.jpg,both_correct,rtdetrv2-l,rfdetr-2xlarge,1,1,,,,yolo26m,0.145500,1004.028,931.679
2026-02-20T15:32:49.098664,148,641869830.jpeg,left,yolo11m,yolov10x,1,0,depth_limit,,,yolo26m,0.141800,644.042,975.986
2026-02-20T15:32:57.948434,149,641869963.jpg,both_wrong,rtdetrv2-x,yolov10x,0,0,,,,yolo26m,0.146150,2256.346,1078.302
2026-02-20T15:33:00.211580,150,641923740.jpg,both_correct,yolov10s,yolo26l,1,1,,,,yolo11m,0.142100,323.399,1218.609
2026-02-20T15:33:01.688073,151,641858655.jpeg,both_correct,yolov10s,yolov10l,1,1,,,,yolo26m,0.143200,351.360,1311.996
2026-02-20T15:33:03.134193,152,641858660.jpeg,both_correct,yolov10l,yolo26m,1,1,,,,yolo11m,0.143550,711.050,475.000
2026-02-20T15:33:07.572505,153,641884776.jpg,left,rtdetrv2-x,rfdetr-medium,1,0,yes,yolo11x,rtdetrv2-x,yolo11m,0.139100,2147.911,372.930
