screen_index,image_name,choice,left_model_key,left_model_name,left_is_correct,left_inference_ms,right_model_key,right_model_name,right_is_correct,right_inference_ms,followup_enqueued,followup_left_model_key,followup_right_model_key,leader_key_after,leader_prob_after
67,641874830.jpg,left,rfdetr-nano,RF-DETR nano,1,347.533,yolov10x,YOLOv10 x,0,3427.384,yes,yolov10m,rfdetr-nano,yolo26m,0.107050
68,641831510.jpg,both_correct,yolo11l,YOLO11 l,1,1500.786,rfdetr-nano,RF-DETR nano,1,590.000,,,,rfdetr-nano,0.105900
69,641923761.jpeg,left,rtdetrv3-r18,RT-DETRv3 R18,1,1774.890,rfdetr-medium,RF-DETR medium,0,1521.674,depth_limit,,,yolov10m,0.105350
70,641923762.jpeg,both_correct,yolo11l,YOLO11 l,1,889.031,yolov10s,YOLOv10 s,1,443.434,,,,rfdetr-small,0.106450
71,641885782.jpeg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,2822.682,yolo26s,YOLO26 s,1,402.931,,,,rtdetrv3-r18,0.106700
72,641874830.jpg,both_correct,yolov10m,YOLOv10 m,1,844.697,rfdetr-nano,RF-DETR nano,1,198.773,,,,yolov10m,0.107100
73,641895894.jpg,both_correct,yolo26l,YOLO26 l,1,1367.730,rfdetr-medium,RF-DETR medium,1,509.965,,,,rtdetrv3-r18,0.104950
74,641895787.jpeg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,2392.902,rtdetrv3-r50,RT-DETRv3 R50,1,3824.108,,,,rfdetr-nano,0.105600
75,641874829.jpg,both_correct,yolov10l,YOLOv10 l,1,1842.713,yolov10n,YOLOv10 n,1,301.625,,,,yolov10m,0.103850
76,641855268.jpeg,both_wrong,yolo26x,YOLO26 x,0,1590.833,yolo11m,YOLO11 m,0,1304.667,,,,rfdetr-nano,0.105450
77,641895893.jpg,both_correct,yolov10l,YOLOv10 l,1,872.316,rfdetr-medium,RF-DETR medium,1,720.060,,,,rfdetr-nano,0.105500
78,641857216.jpeg,both_correct,yolo11s,YOLO11 s,1,1834.387,yolo11l,YOLO11 l,1,941.866,,,,rfdetr-nano,0.105000
79,641879143.jpg,both_correct,rfdetr-small,RF-DETR small,1,1349.805,yolov10x,YOLOv10 x,1,1765.993,,,,yolo26m,0.107250
80,641834454.jpg,right,rtdetr-x,RT-DETR HGNetv2-X,0,11069.515,yolov10m,YOLOv10 m,1,3138.530,yes,rfdetr-2xlarge,yolov10m,yolov10m,0.130900
81,641876062.jpg,both_correct,yolov10x,YOLOv10 x,1,1984.026,yolov10l,YOLOv10 l,1,1353.068,,,,yolov10m,0.134950
82,641848646.jpg,both_correct,yolov10x,YOLOv10 x,1,1702.927,rfdetr-medium,RF-DETR medium,1,637.584,,,,yolov10m,0.129400
83,641843148.jpg,right,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yolov10x,YOLOv10 x,1,1226.047,yes,yolov10x,yolo11l,yolov10m,0.133200
84,641915263.jpg,both_correct,yolo26m,YOLO26 m,1,4092.514,yolo26x,YOLO26 x,1,5531.036,,,,yolov10m,0.131550
85,641834454.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,2948.396,yolov10m,YOLOv10 m,1,1333.220,,,,yolov10m,0.130300
86,641886992.jpeg,right,rtdetrv3-r101,RT-DETRv3 R101,0,4309.659,yolov10l,YOLOv10 l,1,1550.760,yes,yolo11x,yolov10l,yolov10m,0.134400
87,641869962.jpg,right,yolo26s,YOLO26 s,0,564.071,yolo26m,YOLO26 m,1,1249.358,yes,yolo26m,yolo26l,yolov10m,0.126800
88,641843148.jpg,both_correct,yolov10x,YOLOv10 x,1,3050.970,yolo11l,YOLO11 l,1,1434.566,,,,yolo26m,0.127750
89,641860609.jpg,right,yolo26s,YOLO26 s,0,191.371,yolo11m,YOLO11 m,1,940.977,yes,yolo11n,yolo11m,yolov10m,0.126000
90,641867712.jpg,both_wrong,rtdetrv3-r101,RT-DETRv3 R101,0,2203.597,rtdetrv2-l,RT-DETRv2 L,0,2493.963,,,,yolov10m,0.125900
91,641886992.jpeg,both_correct,yolo11x,YOLO11 x,1,2131.344,yolov10l,YOLOv10 l,1,736.568,,,,yolov10m,0.127950
92,641869962.jpg,both_correct,yolo26m,YOLO26 m,1,493.695,yolo26l,YOLO26 l,1,1612.853,,,,yolo26m,0.119700
93,641876069.jpg,left,yolo26s,YOLO26 s,1,349.835,yolo11x,YOLO11 x,0,1027.643,yes,yolo26s,yolo11m,yolov10m,0.121500
94,641860609.jpg,both_correct,yolo11n,YOLO11 n,1,230.358,yolo11m,YOLO11 m,1,429.521,,,,yolo26m,0.123450
95,641883495.jpg,both_correct,yolo11n,YOLO11 n,1,135.745,yolov10l,YOLOv10 l,1,918.803,,,,yolo26m,0.121400
96,641895206.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1109.378,yolov10l,YOLOv10 l,1,601.058,,,,yolo26m,0.123900
97,641858668.jpeg,right,yolo26s,YOLO26 s,0,309.173,yolo26m,YOLO26 m,1,506.096,yes,rtdetrv3-r18,yolo26m,yolo26m,0.145650
98,641876069.jpg,both_correct,yolo26s,YOLO26 s,1,293.763,yolo11m,YOLO11 m,1,428.151,,,,yolo26m,0.147900
99,641869087.jpeg,both_correct,yolov10m,YOLOv10 m,1,542.469,rtdetrv2-x,RT-DETRv2 X,1,4934.650,,,,yolo26m,0.147700
100,641877803.jpg,both_correct,yolo26l,YOLO26 l,1,704.536,rfdetr-small,RF-DETR small,1,592.689,,,,yolo26m,0.153000
101,641876231.jpg,both_correct,yolo11m,YOLO11 m,1,394.453,yolov10m,YOLOv10 m,1,420.937,,,,yolo26m,0.142450
102,641858668.jpeg,both_correct,rtdetrv3-r18,RT-DETRv3 R18,1,2434.329,yolo26m,YOLO26 m,1,766.417,,,,yolo26m,0.148650
103,641910394.jpeg,both_correct,yolo26n,YOLO26 n,1,221.972,rtdetrv2-l,RT-DETRv2 L,1,1150.464,,,,yolo26m,0.152200
104,641893515.jpg,both_correct,rfdetr-nano,RF-DETR nano,1,298.502,yolo11m,YOLO11 m,1,511.822,,,,yolo26m,0.147850
105,641854546.jpg,both_correct,yolo26m,YOLO26 m,1,451.089,rtdetrv3-r18,RT-DETRv3 R18,1,1219.638,,,,yolo26m,0.149350
106,641848626.jpg,both_wrong,rfdetr-medium,RF-DETR medium,0,1152.655,rtdetrv2-l,RT-DETRv2 L,0,1283.301,,,,yolo26m,0.148600
107,641883740.jpg,both_correct,yolo26s,YOLO26 s,1,179.202,rtdetrv2-l,RT-DETRv2 L,1,977.512,,,,yolo26m,0.149300
108,641900799.jpeg,both_correct,yolo26m,YOLO26 m,1,534.782,yolov10s,YOLOv10 s,1,438.175,,,,yolo26m,0.148100
109,641914472.jpg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,2087.493,yolov10x,YOLOv10 x,1,1666.367,,,,yolo26m,0.153350
110,641860607.jpg,both_correct,yolov10l,YOLOv10 l,1,572.018,yolov10n,YOLOv10 n,1,178.786,,,,yolo26m,0.150600
111,641869840.jpg,both_correct,yolov10m,YOLOv10 m,1,659.899,rfdetr-small,RF-DETR small,1,257.997,,,,yolo26m,0.143700
112,641878288.jpg,both_correct,yolov10s,YOLOv10 s,1,216.490,yolo26m,YOLO26 m,1,284.422,,,,yolo26m,0.149300
113,641899008.jpg,both_correct,rfdetr-medium,RF-DETR medium,1,352.132,rtdetr-l,RT-DETR HGNetv2-L,1,1113.682,,,,yolo26m,0.152150
114,641865882.jpg,both_correct,yolo11n,YOLO11 n,1,178.236,yolov10n,YOLOv10 n,1,196.631,,,,yolo26m,0.144350
115,641854540.jpg,both_correct,yolo26s,YOLO26 s,1,369.490,rfdetr-2xlarge,RF-DETR 2x-large,1,3120.300,,,,yolo26m,0.148350
116,641923690.jpg,both_correct,yolo11l,YOLO11 l,1,1221.069,rfdetr-small,RF-DETR small,1,430.135,,,,yolo26m,0.144700
117,641876540.jpg,both_correct,yolo26l,YOLO26 l,1,676.141,rtdetrv3-r101,RT-DETRv3 R101,1,3476.150,,,,yolo26m,0.148450
118,641858665.jpeg,both_correct,yolo26x,YOLO26 x,1,2842.883,rfdetr-2xlarge,RF-DETR 2x-large,1,1017.972,,,,yolo26m,0.147300
119,641899009.jpg,right,yolo26n,YOLO26 n,0,115.121,yolo11s,YOLO11 s,1,545.962,yes,yolo11s,yolo11n,yolo26m,0.143450
120,641833014.jpg,both_wrong,rfdetr-medium,RF-DETR medium,0,514.500,yolov10l,YOLOv10 l,0,720.664,,,,yolo26m,0.146050
121,641854542.jpg,both_correct,yolov10x,YOLOv10 x,1,998.956,rtdetrv2-x,RT-DETRv2 X,1,2330.878,,,,yolo26m,0.147400
122,641923536.jpg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,966.276,rtdetrv3-r18,RT-DETRv3 R18,1,1581.340,,,,yolo26m,0.147000
123,641856202.jpeg,both_correct,yolov10s,YOLOv10 s,1,358.209,yolo26x,YOLO26 x,1,878.720,,,,yolo26m,0.150350
124,641899009.jpg,left,yolo11s,YOLO11 s,1,169.970,yolo11n,YOLO11 n,0,93.279,depth_limit,,,yolo26m,0.143650
125,641878278.jpg,left,yolo26x,YOLO26 x,1,544.809,rtdetrv3-r101,RT-DETRv3 R101,0,2185.327,yes,rtdetrv2-l,yolo26x,yolo26m,0.150200
126,641923766.jpeg,right,rtdetrv3-r101,RT-DETRv3 R101,0,2138.421,rfdetr-2xlarge,RF-DETR 2x-large,1,1132.273,yes,rfdetr-2xlarge,rfdetr-medium,yolo26m,0.141750
127,641883945.jpg,both_correct,rfdetr-nano,RF-DETR nano,1,169.359,yolo11m,YOLO11 m,1,647.028,,,,yolo26m,0.140750
128,641895785.jpeg,both_correct,yolo26m,YOLO26 m,1,460.515,yolo26n,YOLO26 n,1,108.716,,,,yolo26m,0.141300
129,641878242.jpg,both_correct,rtdetrv3-r50,RT-DETRv3 R50,1,2592.891,rtdetrv3-r18,RT-DETRv3 R18,1,1315.382,,,,yolo26m,0.144400
130,641878278.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1319.859,yolo26x,YOLO26 x,1,654.911,,,,yolo26m,0.141950
131,641923766.jpeg,both_correct,rfdetr-2xlarge,RF-DETR 2x-large,1,1227.036,rfdetr-medium,RF-DETR medium,1,615.790,,,,yolo26m,0.140800
132,641914479.jpg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,1231.402,yolo26x,YOLO26 x,1,1027.531,,,,yolo26m,0.138950
133,641858662.jpeg,both_correct,rtdetrv3-r50,RT-DETRv3 R50,1,1167.187,yolo26x,YOLO26 x,1,953.020,,,,yolo26m,0.143700
134,641884465.jpeg,both_correct,yolov10x,YOLOv10 x,1,851.549,yolo11m,YOLO11 m,1,427.662,,,,yolo26m,0.138550
135,641883261.jpg,both_correct,rtdetrv2-x,RT-DETRv2 X,1,2254.738,rfdetr-medium,RF-DETR medium,1,417.453,,,,yolo26m,0.144800
136,641895181.jpg,both_correct,yolo11s,YOLO11 s,1,189.508,yolov10n,YOLOv10 n,1,128.987,,,,yolo26m,0.139300
137,641873596.jpg,both_correct,rtdetrv3-r101,RT-DETRv3 R101,1,2088.879,yolo26x,YOLO26 x,1,938.573,,,,yolo26m,0.141850
138,641863233.jpg,both_wrong,rtdetrv2-x,RT-DETRv2 X,0,2026.664,yolov10n,YOLOv10 n,0,130.959,,,,yolo26m,0.145450
139,641849196.jpg,left,rtdetrv2-l,RT-DETRv2 L,1,1107.414,rfdetr-nano,RF-DETR nano,0,133.860,yes,rtdetrv2-l,yolo26m,yolo26m,0.151150
140,641883739.jpg,both_correct,yolo11s,YOLO11 s,1,188.838,rtdetrv2-x,RT-DETRv2 X,1,1966.927,,,,yolo26m,0.156550
141,641867040.jpg,both_correct,yolo11x,YOLO11 x,1,2753.203,yolov10n,YOLOv10 n,1,147.980,,,,yolo26m,0.149400
142,641834108.jpg,both_correct,yolov10x,YOLOv10 x,1,1643.369,rfdetr-small,RF-DETR small,1,282.263,,,,yolo26m,0.151550
143,641869830.jpeg,left,yolo11m,YOLO11 m,1,444.506,rtdetr-x,RT-DETR HGNetv2-X,0,5127.207,yes,yolo11m,yolov10x,yolo26m,0.141000
144,641849196.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1312.173,yolo26m,YOLO26 m,1,491.181,,,,yolo26m,0.142350
145,641897747.jpg,both_correct,rtdetr-l,RT-DETR HGNetv2-L,1,1024.041,rtdetrv2-x,RT-DETRv2 X,1,1987.774,,,,yolo26m,0.143500
146,641870480.jpg,both_correct,rfdetr-medium,RF-DETR medium,1,413.933,rtdetrv2-l,RT-DETRv2 L,1,1192.936,,,,yolo26m,0.146350
147,641854547.jpg,both_correct,rtdetrv2-l,RT-DETRv2 L,1,1004.028,rfdetr-2xlarge,RF-DETR 2x-large,1,931.679,,,,yolo26m,0.145500
148,641869830.jpeg,left,yolo11m,YOLO11 m,1,644.042,yolov10x,YOLOv10 x,0,975.986,depth_limit,,,yolo26m,0.141800
149,641869963.jpg,both_wrong,rtdetrv2-x,RT-DETRv2 X,0,2256.346,yolov10x,YOLOv10 x,0,1078.302,,,,yolo26m,0.146150
150,641923740.jpg,both_correct,yolov10s,YOLOv10 s,1,323.399,yolo26l,YOLO26 l,1,1218.609,,,,yolo11m,0.142100
151,641858655.jpeg,both_correct,yolov10s,YOLOv10 s,1,351.360,yolov10l,YOLOv10 l,1,1311.996,,,,yolo26m,0.143200
152,641858660.jpeg,both_correct,yolov10l,YOLOv10 l,1,711.050,yolo26m,YOLO26 m,1,475.000,,,,yolo11m,0.143550
153,641884776.jpg,left,rtdetrv2-x,RT-DETRv2 X,1,2147.911,rfdetr-medium,RF-DETR medium,0,372.930,yes,yolo11x,rtdetrv2-x,yolo11m,0.139100
154,641858656.jpeg,both_correct,rfdetr-small,RF-DETR small,1,433.418,yolo11l,YOLO11 l,1,1182.258,,,,yolo26m,0.143800
155,641877459.jpeg,both_correct,yolo26l,YOLO26 l,1,620.444,rtdetrv3-r18,RT-DETRv3 R18,1,2145.559,,,,yolo26m,0.144800
156,641869775.jpeg,both_correct,yolo11l,YOLO11 l,1,632.405,yolov10s,YOLOv10 s,1,247.461,,,,yolo11m,0.145600
157,641885783.jpeg,both_correct,yolo11l,YOLO11 l,1,533.667,yolov10n,YOLOv10 n,1,160.736,,,,yolo26m,0.145350
158,641884776.jpg,both_correct,yolo11x,YOLO11 x,1,1023.685,rtdetrv2-x,RT-DETRv2 X,1,1959.434,,,,yolo11m,0.146500
159,641896091.jpg,left,rtdetrv2-x,RT-DETRv2 X,1,1979.444,dino15-proxy,DINO 1.5 Pro proxy,0,0.000,yes,rtdetrv2-x,yolo26m,yolo11m,0.144000
160,641895788.jpeg,left,yolo26n,YOLO26 n,1,217.011,rfdetr-small,RF-DETR small,0,307.035,yes,yolo26s,yolo26n,yolo11m,0.156050
161,641854538.jpg,both_correct,yolo26s,YOLO26 s,1,651.329,yolov10n,YOLOv10 n,1,251.843,,,,yolo26m,0.156050
162,641917482.jpg,right,yolo11s,YOLO11 s,0,241.481,yolo11n,YOLO11 n,1,126.751,yes,yolo11n,rfdetr-2xlarge,yolo26m,0.159600
163,641910531.jpeg,left,yolov10l,YOLOv10 l,1,785.004,yolo26l,YOLO26 l,0,542.792,yes,yolov10l,rfdetr-medium,yolo26m,0.153000
164,641896091.jpg,right,rtdetrv2-x,RT-DETRv2 X,0,2448.966,yolo26m,YOLO26 m,1,591.978,depth_limit,,,yolo26m,0.174500
165,641895788.jpeg,right,yolo26s,YOLO26 s,0,285.405,yolo26n,YOLO26 n,1,189.003,depth_limit,,,yolo26m,0.175400
166,641866088.jpeg,right,yolo26s,YOLO26 s,0,196.159,rfdetr-small,RF-DETR small,1,219.538,yes,rtdetrv2-l,rfdetr-small,yolo26m,0.174550
167,641917482.jpg,right,yolo11n,YOLO11 n,0,140.774,rfdetr-2xlarge,RF-DETR 2x-large,1,1108.957,depth_limit,,,yolo26m,0.171000
168,641910531.jpeg,left,yolov10l,YOLOv10 l,1,655.946,rfdetr-medium,RF-DETR medium,0,351.466,depth_limit,,,yolo26m,0.167200
169,641859707.jpg,both_wrong,yolo11m,YOLO11 m,0,443.922,rtdetr-l,RT-DETR HGNetv2-L,0,1121.750,,,,yolo26m,0.163150
170,641895478.png,left,rtdetrv3-r50,RT-DETRv3 R50,1,1659.352,yolo11l,YOLO11 l,0,542.647,yes,rtdetrv3-r50,dino15-proxy,yolo26m,0.171050
